Mes,Año,Observado,ACCESS-CM2_r1i1p1f1,ACCESS-ESM1-5_r1i1p1f1,ACCESS-ESM1-5_r2i1p1f1,AWI-CM-1-1-MR_r1i1p1f1,BCC-CSM2-MR_r1i1p1f1,CAMS-CSM1-0_r1i1p1f1,CAMS-CSM1-0_r2i1p1f1,CanESM5-CanOE_r1i1p2f1,CanESM5_r1i1p1f1,CanESM5_r2i1p1f1,CanESM5_r3i1p1f1,CanESM5_r4i1p1f1,CanESM5_r5i1p1f1,CESM2-WACCM_r3i1p1f1,CESM2_r1i1p1f1,CESM2_r2i1p1f1,CMCC-CM2-SR5_r1i1p1f1,CMCC-ESM2_r1i1p1f1,EC-Earth3-Veg-LR_r1i1p1f1,EC-Earth3-Veg_r2i1p1f1,EC-Earth3_r1i1p1f1,FGOALS-f3-L_r1i1p1f1,FIO-ESM-2-0_r1i1p1f1,FIO-ESM-2-0_r2i1p1f1,FIO-ESM-2-0_r3i1p1f1,GFDL-ESM4_r1i1p1f1,GISS-E2-1-G_r1i1p1f2,HadGEM3-GC31-LL_r1i1p1f3,IITM-ESM_r1i1p1f1,INM-CM4-8_r1i1p1f1,INM-CM5-0_r1i1p1f1,KACE-1-0-G_r1i1p1f1,MCM-UA-1-0_r1i1p1f2,MIROC-ES2L_r1i1p1f2,MIROC6_r1i1p1f1,MIROC6_r2i1p1f1,MIROC6_r3i1p1f1,MPI-ESM1-2-HR_r2i1p1f1,MPI-ESM1-2-LR_r1i1p1f1,MPI-ESM1-2-LR_r2i1p1f1,MPI-ESM1-2-LR_r3i1p1f1,MPI-ESM1-2-LR_r4i1p1f1,MPI-ESM1-2-LR_r5i1p1f1,MRI-ESM2-0_r1i1p1f1,NESM3_r1i1p1f1,NESM3_r2i1p1f1,NorESM2-LM_r1i1p1f1,NorESM2-MM_r1i1p1f1,TaiESM1_r1i1p1f1,UKESM1-0-LL_r1i1p1f2
1,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,1990,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1990,0.2,0.0,0.0,0.0,0.0,12.5,0.0,0.0,8.0,0.5,0.0,0.0,0.0,5.5,32.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.5,5.5,0.5,0.0,0.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,1.0,5.9,8.0,0.5,0.0
4,1990,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,88.0,0.0,1.5,27.5,22.0,7.5,67.5,1.5,0.0,0.0,25.0,0.0,9.0,0.0,1.5,0.0,0.0,0.0,0.5,3.0,5.9,0.0,6.0,6.0,1.5,25.0,1.5,0.0,0.0,0.0,0.0,49.5,0.0,88.0,17.0,5.9,22.0,27.5,7.5
5,1990,23.0,69.0,117.5,57.5,184.5,15.8,85.0,0.0,127.2,69.0,134.1,202.5,0.0,0.0,10.0,57.5,127.2,15.0,184.5,5.5,202.5,1.0,202.5,42.0,87.5,0.0,202.5,81.7,42.0,15.8,57.5,57.5,5.5,0.0,85.0,184.5,0.0,64.0,134.1,85.0,15.0,24.0,23.0,15.8,26.5,47.5,117.5,0.0,202.5,0.0,202.5
6,1990,1.0,348.0,99.0,72.5,103.0,34.5,72.0,103.0,128.0,72.5,64.5,145.0,401.0,121.0,59.0,48.5,224.0,49.0,401.0,224.0,59.0,224.0,99.0,128.0,145.0,120.0,99.0,145.0,128.0,166.5,83.2,72.0,121.0,99.0,59.0,1.0,48.5,64.5,149.0,224.0,53.9,64.5,145.0,49.0,48.5,59.0,64.5,145.0,190.0,48.5,128.0
7,1990,51.0,98.5,32.5,3.4,70.6,9.0,32.5,98.5,3.4,61.8,0.0,156.3,156.3,94.5,50.5,43.5,9.0,62.0,94.5,9.5,61.8,0.0,149.5,156.3,34.0,149.5,149.5,149.5,9.5,156.3,159.0,70.6,175.0,27.7,61.8,55.0,5.5,61.8,54.5,50.5,211.0,66.5,83.0,0.0,34.0,61.5,94.5,61.5,156.3,5.5,3.4
8,1990,41.0,67.0,64.0,0.0,135.6,19.8,67.0,93.5,146.0,0.0,64.0,64.0,0.0,91.5,86.5,91.5,0.0,135.6,91.5,11.5,104.5,171.0,49.5,29.0,91.5,77.2,34.0,135.6,67.0,47.0,171.0,29.0,47.0,41.0,93.5,41.0,15.0,39.5,0.0,171.0,104.5,146.0,10.0,0.0,66.5,111.0,86.5,135.6,146.0,49.5,91.5
9,1990,19.5,30.9,0.0,0.0,24.0,9.5,10.8,3.5,18.5,8.5,132.1,13.5,19.5,109.5,8.5,132.1,16.0,132.1,24.0,44.0,132.1,16.0,11.0,13.5,123.0,10.8,0.0,15.5,9.5,15.5,16.0,0.0,44.0,0.0,21.0,5.0,0.0,2.0,10.8,24.0,21.0,24.0,123.0,9.5,22.5,44.0,132.1,3.0,44.0,15.5,8.5
10,1990,16.0,0.0,0.0,16.0,113.5,0.0,67.0,5.4,21.0,0.0,0.0,0.0,57.5,27.0,0.0,67.0,77.0,16.0,0.0,67.0,0.0,2.5,0.0,23.0,27.0,0.0,0.0,2.5,4.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,16.0,27.0,113.5,23.0,0.0,0.0,34.5,0.0,23.0,4.0,113.5,0.0
