Fecha,T [°C] mensual El Torito,Pp [mm ] mensual DGA El Cobre
01-04-1989,15.5,8.4
01-05-1989,13.0,2.3
01-06-1989,11.1,16.0
01-07-1989,9.7,146.8
01-08-1989,10.7,102.5
01-09-1989,11.5,2.3
01-10-1989,13.7,2.5
01-11-1989,16.2,1.3
01-12-1989,17.8,0.0
01-01-1990,19.6,0.0
01-02-1990,18.6,0.0
01-03-1990,17.9,0.2
01-04-1990,15.0,0.0
01-05-1990,12.9,23.0
01-06-1990,11.3,1.0
01-07-1990,9.6,51.0
01-08-1990,11.5,41.0
01-09-1990,12.2,19.5
01-10-1990,12.9,16.0
01-11-1990,15.6,0.0
01-12-1990,17.7,0.0
01-01-1991,19.2,0.0
01-02-1991,19.2,0.0
01-03-1991,17.9,0.0
01-04-1991,15.6,7.5
01-05-1991,13.9,47.5
01-06-1991,11.5,190.0
01-07-1991,10.0,70.6
01-08-1991,10.3,11.5
01-09-1991,13.0,30.9
01-10-1991,13.2,21.0
01-11-1991,15.5,0.0
01-12-1991,17.2,1.9
01-01-1992,19.9,0.0
01-02-1992,18.7,0.0
01-03-1992,18.3,21.9
01-04-1992,15.2,21.5
01-05-1992,12.6,127.2
01-06-1992,10.5,224.0
01-07-1992,9.3,5.5
01-08-1992,10.6,93.5
01-09-1992,12.6,22.5
01-10-1992,14.1,0.0
01-11-1992,15.7,5.7
01-12-1992,18.0,0.0
01-01-1993,20.2,0.0
01-02-1993,19.3,0.0
01-03-1993,18.9,0.0
01-04-1993,16.1,67.5
01-05-1993,12.3,87.5
01-06-1993,11.6,22.0
01-07-1993,9.4,34.0
01-08-1993,10.5,51.0
01-09-1993,11.5,8.5
01-10-1993,13.6,8.0
01-11-1993,15.7,3.5
01-12-1993,17.6,0.0
01-01-1994,19.2,0.0
01-02-1994,18.5,0.0
01-03-1994,18.1,0.0
01-04-1994,16.0,0.0
01-05-1994,13.2,64.0
01-06-1994,11.1,21.0
01-07-1994,9.7,156.3
01-08-1994,10.3,17.5
01-09-1994,13.4,24.5
01-10-1994,14.2,0.0
01-11-1994,16.3,0.0
01-12-1994,18.6,0.0
01-01-1995,20.0,0.0
01-02-1995,18.7,0.0
01-03-1995,18.2,0.0
01-04-1995,16.1,17.0
01-05-1995,14.4,0.0
01-06-1995,11.5,72.0
01-07-1995,9.0,118.0
01-08-1995,9.9,66.5
01-09-1995,12.2,24.0
01-10-1995,13.9,0.0
01-11-1995,15.6,0.0
01-12-1995,18.0,0.0
01-01-1996,18.6,0.0
01-02-1996,18.5,0.0
01-03-1996,18.1,0.0
01-04-1996,14.9,25.0
01-05-1996,12.8,5.5
01-06-1996,10.4,48.5
01-07-1996,10.8,54.5
